operator,color_r,color_g,color_b
DEFAULT,255,255,255
BNML,255,221,98
BNVB,255,221,98
BNFM,255,221,98
BNDB,255,221,98
BNGN,255,221,98
BNSM,255,221,98
METL,255,221,98
SYRK,46,255,200
STWS,46,255,200
SSWL,46,255,200
SGUE,46,255,200
SDVN,46,255,200
SCSO,46,255,200
SCOX,46,255,200
SCNH,46,255,200
SCNE,46,255,200
SCMY,46,255,200
SCMN,46,255,200
SCHI,46,255,200
SCGL,46,255,200
SCFI,46,255,200
SCEM,46,255,200
SCEK,46,255,200
SCCU,46,255,200
SCCM,46,255,200
SBLB,46,255,200
WRAY,0,239,255
AVLO,0,239,255
ARHE,0,239,255
ARBB,0,239,255
ANWE,0,239,255
ANUM,0,239,255
ANEA,0,239,255
AMTM,0,239,255
AMSY,0,239,255
AMNO,0,239,255
AMID,0,239,255
AKSS,0,239,255
ADER,0,239,255
ACYM,0,239,255
TFLO,255,36,23
MBGA,255,36,23
AVLO,255,36,23
LUTD,255,36,23
LULD,255,36,23
LSOV,255,36,23
LOTR,255,36,23
LONC,255,36,23
LGEN,255,36,23
GAHL,255,36,23
FLON,255,36,23
ELBG,255,36,23
FLIX,179,255,0
MTLN,255,36,23
BTRI,255,36,23
TRAM,183,255,32
ABLO,255,36,23
IFSC,255,36,23
LIBC,255,36,23
DLBU,255,36,23
SWTR,178,255,56
FYOR,255,0,255
FWYO,255,0,255
FTVA,255,0,255
FSYO,255,0,255
FSMR,255,0,255
FPOT,255,0,255
FMAN,255,0,255
FLEI,58,255,0
FLDS,255,0,255
FHUD,255,0,255
FHAM,0,187,255
FHAL,255,0,255
FGLA,255,0,255
FESX,255,0,255
FECS,255,0,255
FDOR,255,0,255
FCYM,255,0,255
FCWL,255,0,255
FBRI,255,0,255
FBRA,255,0,255
FBOS,255,0,255
FABD,255,0,255
CBUS,255,218,29
SPTU,255,98,0
CBNL,255,102,0
CBBH,255,102,0
LLCO,255,19,34
RBRO,3,165,255
CELT,0,255,158
TNXB,255,33,48
TCVW,0,168,255
BPTR,255,86,16
HRGT,255,19,48
ROST,255,221,0
KDTR,0,255,98
LNUD,0,134,255
OXBC,0,255,0
TDTR,0,139,255
RLNE,255,11,0
CSLB,255,0,15
REDE,255,0,13
RRTR,255,235,0
MDCL,0,126,255
DIAE,0,126,255
DIAM,0,126,255
WNGS,0,126,255
LOTH,255,42,35
NELB,0,255,154
MCGL,0,133,255
SCLK,47,111,255
ie-526,255,220,0
ie-LLWX,0,255,124
ie-LLWD,0,255,124
ie-LLMO,0,255,124
ie-LLLW,0,255,124
ie-LLLO,0,255,124
ie-LLLMF,0,255,124
ie-LLLC,0,255,124
ie-LLKY,0,255,124
ie-LLKSD,0,255,124
ie-LLGY,0,255,124
ie-LLDSL,0,255,124
ie-LLCWKK,0,255,124
ie-LLCN,0,255,124
ie-LLCK,0,255,124
ie-7778167,0,255,124
ie-02,255,140,0
BLUS,0,131,255
UNIL,0,131,255
WDBC,0,113,255
GAGL,0,113,255
UNIL,0,131,255
SVCT,203,255,0
SWWD,255,0,0
DAMY,0,134,255
TFCN,255,15,0
NCTR,0,255,233
NEXT,0,255,241
SHRN,0,71,255
NXMT,255,173,0
ie-978,255,230,0
UTS,0,216,255
ie-1178,0,130,255
LYNX,255,14,29
SNDR,255,192,37
IPSW,193,255,49
BHBC,125,255,251
BLAC,255,245,96
RBUS,150,255,27
RRAR,150,211,255
CTNY,167,255,36
THTR,0,0,255
PULH,255,2,27
COMT,255,0,0
LIHO,0,255,221
ie-01,255,31,71
PLYC,255,0,3
DTCO,255,0,3
GNSL,0,255,0
HGCO,58,139,255
TAFV,35,128,255
MULM,255,102,0
TMTL,255,23,29
TBTN,255,79,14
BRTB,255,79,14
YEOC,0,255,152
SARG,255,15,15
MBLB,0,179,255
BRBU,255,98,0
PERY,255,18,34
BORD,255,18,34
DDIS,0,61,255
EYMS,255,31,65
GRYC,255,189,0
SLEA,61,96,255
A2BR,87,255,89
TANV,255,170,87
TLCT,0,179,255
AMGR,87,98,255
ULB,0,216,255
GLE,0,216,255
FY,0,216,255
MET,0,216,255
MDMT,38,131,255
VECT,0,131,255
METR,0,149,255
LMTR,82,204,255
KJTR,255,212,125
BERW,0,255,0
GOOD,255,0,0
SPCT,255,78,79
ARGT,25,119,255
JPEM,0,59,255
GHCT,255,51,0
PBLT,176,255,0
DAGC,255,245,0
SESX,0,255,107
FABC,255,127,0
GNEL,255,0,15
CALM,255,214,24
MCLS,255,59,66
OKFL,0,127,255
DATR,110,89,255
MOFF,255,196,63
SHUT,255,167,44
PVTT,255,228,115
NVTR,88,255,60
OTSS,255,34,34
TOTN,255,226,60
SMST,255,51,253
GOCH,198,100,255
SOST,255,35,45
UNOE,255,0,140
UNIB,255,0,140
HEXC,41,136,255
CHAT,255,119,68
NADS,230,255,0
KCTB,46,115,255
CHAM,46,115,255
HEDO,46,115,255
FSRV,181,90,255
BRYL,255,42,43
REPT,0,187,255
HIGH,154,0,255
FALC,255,34,40
WNCT,255,112,16
IVEL,60,255,104
STFT,0,255,246
MHCO,0,209,255
WBTR,0,139,255
SHDT,0,183,255
OURB,0,255,117
NIBS,255,183,0
SLCS,50,138,255
ESTW,255,48,42
HSCT,0,71,255
XLBL,14,255,0
SHPL,154,255,49
NDTR,93,255,0
BLCO,255,195,77
NWPT,231,255,63
DEWS,19,255,122
BLCT,0,0,255
RSTY,255,245,0
RACB,9,255,94
TRDU,152,255,0
SHET,0,0,255
COEV,62,122,255
ARCT,255,10,0
BYCO,255,0,0
CRDR,255,237,0
GPLM,255,0,0
HDGS,0,25,255
GDR,0,216,255
BJCO,255,7,0
GDCS,84,147,255
UNTD,0,255,185
RCHC,255,202,138
CNTY,0,0,255
SDTR,255,255,0
